,SHIP_NAME,WATER_BODY,CSN,STN_DATE,CODE,DEPTH_FROM,DETECTION,FLAG,VALUE,ABBREV,FULL_NAME,UNITS,LATITUDE_DD,LONGITUDE_DD
243598,CCGS LIMNOS,LAKE SUPERIOR,1,2016-08-03 23:31:00,100,0.0,,,22.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.54333,-84.7475
120507,CCGS LIMNOS,LAKE SUPERIOR,83,2016-08-17 08:43:00,100,0.0,,,22.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.54361,-84.74833
224301,CCGS LIMNOS,LAKE SUPERIOR,38,2001-08-23 16:42:00,100,0.0,,,19.700001,TEMP,TEMPERATURE (OF WATER),DEG C,46.54361,-84.74833
92863,CCGS LIMNOS,LAKE SUPERIOR,1,2001-05-10 08:02:00,100,0.0,,,2.6,TEMP,TEMPERATURE (OF WATER),DEG C,46.54417,-84.74889
324626,CCGS LIMNOS,LAKE SUPERIOR,1,2011-05-11 00:59:00,100,0.0,0.0,,3.8,TEMP,TEMPERATURE (OF WATER),DEG C,46.54417,-84.74778
95512,CCGS LIMNOS,LAKE SUPERIOR,1,2008-05-06 23:50:00,100,0.0,0.0,,2.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.54444,-84.75111
169747,CCGS LIMNOS,LAKE SUPERIOR,1,2005-09-27 00:14:00,100,0.0,0.0,,18.799999,TEMP,TEMPERATURE (OF WATER),DEG C,46.54639,-84.74778
54799,CCGS LIMNOS,LAKE SUPERIOR,41,2019-05-27 00:00:00,100,0.0,,,3.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.60083,-84.59194
175183,CCGS LIMNOS,LAKE SUPERIOR,30,2016-08-08 01:30:00,100,0.0,,,22.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.69944,-90.03083
289465,CCGS LIMNOS,LAKE SUPERIOR,40,2019-05-27 00:00:00,100,0.0,,,4.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.69972,-84.60083
79085,CCGS LIMNOS,LAKE SUPERIOR,33,2008-09-22 06:37:00,100,0.0,0.0,,14.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.7,-90.03306
61769,CCGS LIMNOS,LAKE SUPERIOR,21,2013-05-18 01:32:00,100,0.0,0.0,,4.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.7,-90.03167
275147,CCGS LIMNOS,LAKE SUPERIOR,35,2008-05-11 05:45:00,100,0.0,0.0,,2.4,TEMP,TEMPERATURE (OF WATER),DEG C,46.7,-90.03139
84163,CCGS LIMNOS,LAKE SUPERIOR,35,2019-09-12 00:00:00,100,0.0,,,7.25,TEMP,TEMPERATURE (OF WATER),DEG C,46.70056,-90.03278
179624,CCGS LIMNOS,LAKE SUPERIOR,50,2008-09-24 20:02:00,100,0.0,0.0,,16.7,TEMP,TEMPERATURE (OF WATER),DEG C,46.71306,-85.81722
30475,CCGS LIMNOS,LAKE SUPERIOR,4,2013-05-15 12:10:00,100,0.0,0.0,,3.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.71306,-85.81694
127321,CCGS LIMNOS,LAKE SUPERIOR,42,2019-09-14 00:00:00,100,0.0,,,10.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.71333,-85.81806
50011,CCGS LIMNOS,LAKE SUPERIOR,42,2011-05-21 20:40:00,100,0.0,0.0,,4.4,TEMP,TEMPERATURE (OF WATER),DEG C,46.71361,-85.81917
